address,in_wallet,staked,unstaking,in_terraswap_mars_ust_pair,in_astroport_mars_ust_pair,in_astroport_xmars_mars_pair,in_generator,in_apollo,in_spec,in_auction,in_council,total
terra190algrmdhd5we4puhmhuzed2ascfem4rsz74np,0,0,0,0,0,0,59989589160,0,0,0,0,59989589160
terra1lhjr3eastjp94ncl2dhkawq35e0phxz5qzq4kl,0,40048661579,16993389743,0,0,0,0,0,0,2373582924,0,59415634246
terra1vwrzpknjhkcphx50uen50kcrl2xnkwrkrr9nq5,58975694055,0,0,0,0,0,0,0,0,0,0,58975694055
terra1t7p2u4q75qlc9jqk6x99ej27s492g3nv2kymxf,58167534143,0,0,0,0,0,0,0,0,0,0,58167534143
terra138c754ul4etdrj60u68qdl2qah24kynv74v42x,57960127720,0,0,0,0,0,0,0,0,0,0,57960127720
terra1zte6q96n8fpz6nku6ywc27e3guvp3elqdy3m7r,0,57751908208,0,0,0,0,0,0,0,0,0,57751908208
terra1ell7l3edc2wdamjmdk6s3l6jkck68s7ankvq95,51660989254,0,0,0,0,0,0,0,0,5520318530,0,57181307784
terra1wyn0gvtz2j7fys6nqxtu80rzwp6x9g8chyp8u9,0,53667721576,0,0,0,0,0,0,0,3360932421,0,57028653997
terra1dqagasltszjaw95l28uuzt4dh9ye6llcru7rsz,0,56709630447,0,0,0,0,0,0,0,0,0,56709630447
terra1mc40fk5ze36vjgdarch24vdtqnh90gcerawyt6,0,55921482641,0,0,0,0,0,0,0,0,0,55921482641
terra1ypwjdsa9l8942mx4sva20yzly74c97frk4xvku,21140450738,13015807754,0,0,0,0,0,0,0,21313847863,0,55470106355
terra1fvfyv3gqnzzpyaqm6zqqkkwuzjxr37rlt5v0gq,0,18837952698,0,0,0,0,0,0,0,35929349497,0,54767302195
terra1dec480gsqhsymglzjpxl8uw70rgn7ldhr3q9w5,29828260,0,0,0,0,0,46517572420,0,0,7549484328,0,54096885008
terra1pt9dhx58n43p6lezzqkgh8wemuqj56yel8g4xw,675468,53770329627,0,0,0,0,0,0,0,0,0,53771005095
terra1udhjmku7ca680mrjpwa7ykcsqaqxn6r8rqcqtv,53243209929,0,0,0,0,0,0,0,0,0,0,53243209929
terra1hn0zy5x4640p80jy3x79smg5ht4zzwk05wrpah,52496113127,0,0,0,0,0,0,0,0,0,0,52496113127
terra1n4q2wpl5ek74ah28uarn3tfddxnej5htqe5xlh,0,38979470814,0,0,0,0,0,0,0,13135649197,0,52115120010
terra1f87ql8evzjgfpxnxc0eft3ms2l8r0lqgyrlwmk,0,0,0,0,0,0,0,0,0,51881544770,0,51881544770
terra1ctcak9klve7a0w4fgp0z9497trvz6l898rz7vp,6792109331,0,0,0,0,0,44717444681,0,0,0,0,51509554012
terra18r8wjmhm99yk59j346afgw9dg7skw48xqya7kq,51338139568,0,0,0,0,0,0,0,0,0,0,51338139568
terra1fy449mmcxfwg09pj7sjtfsrxfluz4v4888w2mc,0,0,0,0,0,0,0,0,0,51247774170,0,51247774170
terra12hequwerhr7ydvxa737jfuuynnzvmt0zl4kd7g,51021018812,0,0,0,0,0,0,0,0,0,0,51021018812
terra1yln3tnjwy0427th9la8jg2f5a7ky2dswzadq5e,0,49683990686,0,0,0,0,0,0,0,441427837,0,50125418523
terra17eyplyrn3r6rq7j0nzwt00kvqfd8glrv0jslwm,50109413632,0,0,0,0,0,0,0,0,0,0,50109413632
terra1n7kkcmata6cu8vvemyklw4vypk3al6nzq3xr9f,50016117282,0,0,0,0,0,0,0,0,0,0,50016117282
terra149ha8zjg2dkdwp3z4equ9rj29m3e224cps98tt,124165343,34939578820,0,0,3304410214,269280931,0,0,0,11016928497,0,49654363805
terra1qc5mlvscu2795fe4lz6203jarst5674pccdwj9,0,47015647278,0,0,0,0,0,0,0,2182766085,0,49198413363
terra1nsjp6ewq7edf6v6t7nht5v4x9xeen4h3n84ezf,39767607487,0,0,0,0,0,0,0,0,9272363391,0,49039970878
terra1przahch2tjkq3zwkyuun5m2suvn7p5az48epud,0,48861971322,0,0,0,0,0,0,0,0,0,48861971322
terra1uq9ak33xefsn9wquklqnx0pr25p4dhu0z4mz99,0,48583269858,0,0,139334688,0,0,0,0,81088308,0,48803692854
terra1c3f6rrxx4dvk4p9d3d5rx58m2ugymjvdre3why,0,0,0,0,0,0,48490970171,0,0,0,0,48490970171
terra1w3jmx4l747wzj2x7wdst5tm4qq3k20wmj2q7mu,21430241690,0,15231015470,0,5498830160,0,0,0,0,5795387562,0,47955474882
terra1520gkmdkva86qzdpevhnsaf7545ezz8qg6zv3r,0,47854097096,0,0,0,0,0,0,0,0,0,47854097096
